2026-09-05 11:35:13,555 | INFO | hr_assistant.document_loader | Loading document from 'data\hr_policy.txt'
2026-09-05 11:35:13,555 | INFO | hr_assistant.document_loader | Loaded 1 document(s)
2026-09-05 11:35:13,555 | INFO | hr_assistant.splitter | Split document(s) into 9 chunk(s)
2026-09-05 11:35:13,555 | INFO | hr_assistant.embedding | Initializing embeddings model 'jina-embeddings-v2-base-en'
2026-09-05 11:35:18,682 | INFO | faiss.loader | Loading faiss with AVX2 support.
2026-09-05 11:35:18,684 | INFO | faiss.loader | Could not load library with AVX2 support due to:
ModuleNotFoundError("No module named 'faiss.swigfaiss_avx2'")
2026-09-05 11:35:18,684 | INFO | faiss.loader | Loading faiss.
2026-09-05 11:35:18,889 | INFO | faiss.loader | Successfully loaded faiss.
2026-09-05 11:35:24,368 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-05 11:35:25,369 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-05 11:35:25,898 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-05 11:35:27,026 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-05 11:35:27,741 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-05 11:35:29,177 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
